task_id,user_id,access_level,assigned_by,assigned_at
b7cf9729-c2f6-4047-8de7-db700ce76248,1740077374191,editor,1740077374191,2025-04-21T08:53:18.914Z
b7cf9729-c2f6-4047-8de7-db700ce76248,1744514095718,viewer,1740077374191,2025-04-21T08:53:18.914Z
b7cf9729-c2f6-4047-8de7-db700ce76248,1745160706109,editor,1740077374191,2025-04-21T08:53:18.914Z
e7c3c944-24b3-4680-9bdf-802ee615a16e,1740077374191,editor,1740077374191,2025-04-21T10:46:01.114Z
e7c3c944-24b3-4680-9bdf-802ee615a16e,1744514095718,viewer,1740077374191,2025-04-21T10:46:01.114Z
e7c3c944-24b3-4680-9bdf-802ee615a16e,1745160706109,editor,1740077374191,2025-04-21T10:46:01.114Z
05a8b162-f3ef-4ea6-b0f7-d74e7a52b9fb,1740077374191,editor,1740077374191,2025-04-21T10:46:36.115Z
05a8b162-f3ef-4ea6-b0f7-d74e7a52b9fb,1744514095718,viewer,1740077374191,2025-04-21T10:46:36.115Z
05a8b162-f3ef-4ea6-b0f7-d74e7a52b9fb,1745160706109,editor,1740077374191,2025-04-21T10:46:36.115Z
064a7e5d-89b2-4adb-8e7b-b3015ddaa895,1740077374191,editor,1740077374191,2025-04-21T15:50:22.051Z
064a7e5d-89b2-4adb-8e7b-b3015ddaa895,1744514095718,viewer,1740077374191,2025-04-21T15:50:22.051Z
064a7e5d-89b2-4adb-8e7b-b3015ddaa895,1745160706109,editor,1740077374191,2025-04-21T15:50:22.051Z
edf744c6-2683-492b-8be7-72c94b31b813,1740077374191,editor,1740077374191,2025-04-21T18:00:37.772Z
